ID,电影名称,评分,信息,短评,url
50,罗马假日,9.1,导演: 威廉·惠勒 William Wyler主演: 奥黛丽·赫本 Audrey Hepburn  格...                            1953美国喜剧 剧情 爱情,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
51,天堂电影院,9.2,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 菲利普·努瓦雷 Philipp...                            1988意大利 法国剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
52,死亡诗社,9.2,导演: 彼得·威尔 Peter Weir主演: 罗宾·威廉姆斯 Robin Williams  罗伯...                            1989美国剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
53,绿皮书,8.9,导演: 彼得·法雷里 Peter Farrelly主演: 维果·莫腾森 Viggo Mortensen ...                            2018美国 中国大陆剧情 喜剧 传记 音乐,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
54,大闹天宫,9.4,导演: 万籁鸣 Laiming Wan主演: 邱岳峰 Yuefeng Qiu  富润生 Runsheng Fu...                            1961(中国大陆)  1964(中国大陆)  1978(中国大陆)中国大陆剧情 动画 奇幻 古装,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
55,指环王1：护戒使者,9.1,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood  西恩...                            2001新西兰 美国剧情 动作 奇幻 冒险,传说的开始。,https://movie.douban.com/subject/1291571/
56,黑客帝国,9.1,导演: 安迪·沃卓斯基 Andy Wachowski  拉娜·沃卓斯基 Lana Wachowski主...                            1999美国动作 科幻,视觉革命。,https://movie.douban.com/subject/1291843/
57,教父2,9.3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A...                            1974美国剧情 犯罪,优雅的孤独。,https://movie.douban.com/subject/1299131/
58,狮子王,9.1,导演: Roger Allers  罗伯·明可夫 Rob Minkoff主演: 乔纳森·泰勒·托马...                            1994美国动画 冒险 歌舞,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
59,辩护人,9.2,导演: 杨宇硕 Woo-seok Yang主演: 宋康昊 Kang-ho Song  金英爱 Yeong-ae...                            2013韩国剧情,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
60,饮食男女,9.2,导演: 李安 Ang Lee主演: 郎雄 Sihung Lung  杨贵媚 Kuei-Mei Yang  吴...                            1994中国台湾 美国剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
61,搏击俱乐部,9.0,导演: 大卫·芬奇 David Fincher主演: 爱德华·诺顿 Edward Norton  布拉...                            1999美国剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
62,美丽心灵,9.1,导演: 朗·霍华德 Ron Howard主演: 罗素·克劳 Russell Crowe  艾德·哈...                            2001美国传记 剧情,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
63,本杰明·巴顿奇事,9.0,导演: 大卫·芬奇 David Fincher主演: 凯特·布兰切特 Cate Blanchett  ...                            2008美国剧情 爱情 奇幻,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
64,穿条纹睡衣的男孩,9.2,导演: 马克·赫尔曼 Mark Herman主演: 阿萨·巴特菲尔德 Asa Butterfield ...                            2008英国 美国剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
65,窃听风暴,9.2,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck&n...                            2006德国剧情 悬疑,别样人生。,https://movie.douban.com/subject/1900841/
